"Adele Corry",,,,
"Alan Castle","Q98270605","2005 United Kingdom general election","Upper Bann","Alliance Party of Northern Ireland"
"Alan Dunlop","Q98269714","2015 United Kingdom general election","South Antrim","Northern Ireland Conservatives"
"Alan Dunlop","Q98269714","2017 Northern Ireland Assembly election","East Antrim","Northern Ireland Conservatives"
"Arthur McGuinness",,,,
"Brian Gurney",,,,
"Chris McCaw","Q76130654","2017 United Kingdom general election","East Londonderry","Alliance Party of Northern Ireland"
"Chris McCaw","Q76130654","2019 United Kingdom general election","East Londonderry","Alliance Party of Northern Ireland"
"Colm Cavanagh","Q98273336","2001 United Kingdom general election","Foyle","Alliance Party of Northern Ireland"
"Danny McBrearty",,,,
"Donn Brennan","Q98273341","1997 United Kingdom general election","Foyle","Natural Law Party"
"Dr. Anne McCloskey",,,,
"Gearóid Ó Heára","Q98273346","2015 United Kingdom general election","Foyle","Sinn Féin"
"John Lindsay","Q666931","1972 Democratic Party presidential primaries",,
"Julia Kee","Q98273354","2015 United Kingdom general election","Foyle","Ulster Unionist Party"
"Kathleen Bradley",,,,
"Keith McGrellis","Q98273355","2010 United Kingdom general election","Foyle","Alliance Party of Northern Ireland"
"Ken Adams",,,,
"Lynn Fleming",,,,
"Mary Hamilton",,,,
"Mary Hassan",,,,
"Paul Fleming",,,,
"Paul McFadden",,,,
"Peter MacKenzie",,,,
"Peter Munce",,,,
"Shannon Downey",,,,
"Stuart Canning",,,,
"Terry Doherty",,,,
"Yvonne Boyle","Q98266544","1997 United Kingdom general election","East Londonderry","Alliance Party of Northern Ireland"
"Yvonne Boyle","Q98266544","2001 United Kingdom general election","East Londonderry","Alliance Party of Northern Ireland"
"Yvonne Boyle","Q98266544","2005 United Kingdom general election","East Londonderry","Alliance Party of Northern Ireland"
"Yvonne Boyle","Q98266544","2015 United Kingdom general election","East Londonderry","Alliance Party of Northern Ireland"
